,index,commentID,userDisplayName,userLocation,commentBody,recommendations,replyCount,replies,editorsSelection,recommendedFlag,isAnonymous
645,20,107385764,Greg Ruben,New York,"Finally, America is great again.",0,0,[],False,0,False
646,21,107385966,Eric,Bay Area,"Fellow readers, do you think you'll ever be able to forgive Republican voters for what they've inflicted on us?",10,3,"[{'commentID': 107386924, 'status': 'approved', 'commentSequence': 107386924, 'userID': 33249720, 'userDisplayName': 'Julee', 'userLocation': 'Florida', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@Eric, Bay Area.  No, I cannot forgive those that gave us Trump.  Trump was not the lessor of two evils as many used this excuse of why they voted for him, he is far more evil and incompetent than many of us ever imagined.  There is only one winner in all this, Putin.', 'createDate': '1591119777', 'updateDate': '1591133790', 'approveDate': '1591119898', 'recommendations': 14, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107385966, 'parentUserDisplayName': 'Eric', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107386924', 'isAnonymous': False}, {'commentID': 107387856, 'status': 'approved', 'commentSequence': 107387856, 'userID': 39833170, 'userDisplayName': 'Eric', 'userLocation': 'Minneapolis', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': 'Never. Republicans are dead to me.  Even the so-called Never Trumpers. They have fomented racism in our country for decades. Trump is not an aberration of the Republican party. He is the culmination of the Republican party.', 'createDate': '1591121733', 'updateDate': '1591126757', 'approveDate': '1591122311', 'recommendations': 3, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107385966, 'parentUserDisplayName': 'Eric', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107387856', 'isAnonymous': False}, {'commentID': 107389046, 'status': 'approved', 'commentSequence': 107389046, 'userID': 20930135, 'userDisplayName': 'MidAtlantic Reader', 'userLocation': 'Washington, DC', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': ""@Eric \n\nNo.  Nor will I have a high regard or attribute good intent to most Christians regardless of party affiliation.    The appreciation of religiosity was a struggle for me before he appeared on the scene, and now it's virtually impossible for me to even see sincere intent.\n\nAlso during the 2016 election (and prior to that with his promotion of birtherism) some of us did see a 250-lb bag of evil and evil intent.  I'm sorry to be proven so right.  He was an open book as to how he'd handle the presidency, and it was apparent even then that being POTUS offers too many opportunities for someone whose primary tool is the creation of chaos and extraction of benefit (be it straightforward egoism or loot)."", 'createDate': '1591124548', 'updateDate': '1591125258', 'approveDate': '1591125258', 'recommendations': 0, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107385966, 'parentUserDisplayName': 'Eric', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107389046', 'isAnonymous': False}]",False,0,False
647,22,107386264,jfdenver,Denver,"Trump is incapable of anything resembling compassion, empathy or understanding.  He wants to be seen as a strong leader, but his idea of strength is to call in the military.  He has paid minimal lip service to the anger over the death of George Floyd, because he doesn't see systemic racism or police brutality.  He is the worst President for these difficult times because he doesn't listen and hears what he wants to hear.  The photo op yesterday was tone deaf.",13,0,[],False,0,False
648,23,107386683,MIKEinNYC,NYC,"Some out-of-control cop in Minneapolis wrongly kills an out-of-control perp and all of a sudden out-of-control renegades figure that its time to violently help themselves to some free stuff.

Pretty sick. 

Perhaps the virus issue has made US crazy.",8,3,"[{'commentID': 107387309, 'status': 'approved', 'commentSequence': 107387309, 'userID': 69180713, 'userDisplayName': 'Dan88', 'userLocation': 'Long Island NY', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': 'https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/cropped-86808d8ef70f897d6cc6bfd2b661a70e6372fbeaa2a0cbfc67a031202c51c26a.jpg', 'commentTitle': '<br\\//>', 'commentBody': '@MIKEinNYC I\'m wondering how it is a ""perp"" can be ""out of control"" when he is handcuffed behind his back.', 'createDate': '1591120581', 'updateDate': '1591133807', 'approveDate': '1591120640', 'recommendations': 5, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107386683, 'parentUserDisplayName': 'MIKEinNYC', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107387309', 'isAnonymous': False}, {'commentID': 107387524, 'status': 'approved', 'commentSequence': 107387524, 'userID': 88616133, 'userDisplayName': 'Maxx', 'userLocation': 'Oregon, USA', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@MIKEinNYC - \nExpect the Stimulus bill to include Reparations for some.', 'createDate': '1591121010', 'updateDate': '1591123334', 'approveDate': '1591122304', 'recommendations': 1, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107386683, 'parentUserDisplayName': 'MIKEinNYC', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107387524', 'isAnonymous': False}, {'commentID': 107388775, 'status': 'approved', 'commentSequence': 107388775, 'userID': 39833170, 'userDisplayName': 'Eric', 'userLocation': 'Minneapolis', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': 'You have to be pretty small minded to think this is all about a single incident. As has been stated countless times, this is about systemic inequality and racism. Some people lack memory and the ability to grasp abstract ideas. They can only see a single incident. Like how a goldfish is constantly amused by his new surroundings.', 'createDate': '1591123901', 'updateDate': '1591126085', 'approveDate': '1591125059', 'recommendations': 2, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107386683, 'parentUserDisplayName': 'MIKEinNYC', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107388775', 'isAnonymous': False}]",False,0,False
649,24,107386622,Jp,Michigan,"""Biden Accuses Trump of 'Fanning the Flames of Hate' ""

Here's where we're headed (you read it here first, months ago):
There's one solution to the disproportionate impact of the criminal justice system on Black and Brown folks. Take a cue from Obama's policy toward public schools. The number of suspects and arrests for crimes cannot exceed the proportions of the suspect's racial (need a special ethnic rule for the LatinX/Hispanic/Chicano ... etc) demographic group. The demographics would be from a nationwide level. For example, if suspect's racial demographic group makes up 15% of the US population and there are currently suspects from that demographic group either being investigated or under arrest for 15% of open cases for a type of crime then that suspect cannot be arrested or even investigated. This applies to murder, theft, driving with broken taillights, spitting on a sidewalk, you name it. The oppression ends there! This might present a challenge to database access but it can be solved. There are also questions about how wide of a geographical area should be considered but these are questions that can be worked out in the name of racial justice.",1,2,"[{'commentID': 107387371, 'status': 'approved', 'commentSequence': 107387371, 'userID': 88616133, 'userDisplayName': 'Maxx', 'userLocation': 'Oregon, USA', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@Jp - So we are back to a police quota system, just racially balanced.   Look for a reparations bill soon.', 'createDate': '1591120709', 'updateDate': '1591123374', 'approveDate': '1591122556', 'recommendations': 1, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107386622, 'parentUserDisplayName': 'Jp', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107387371', 'isAnonymous': False}, {'commentID': 107388645, 'status': 'approved', 'commentSequence': 107388645, 'userID': 1948827, 'userDisplayName': 'Jp', 'userLocation': 'Michigan', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': ""@Maxx :IMHO, you are spot on.\nInsofar as reparations are concerned, well that's the making of amends. We put it all behind us.  Let's see how that flies."", 'createDate': '1591123605', 'updateDate': '1591123877', 'approveDate': '1591123877', 'recommendations': 0, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107387371, 'parentUserDisplayName': 'Jp', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107388645', 'isAnonymous': False}]",False,0,False
650,0,107385924,Ignatz,Upper Ruralia,"Gee GOP...

We never EVER suffered like this under Obama. 

He tried to create a health care plan for people...may not have been perfect, but it was to help people.

Are you happy now GOP?

Our beloved country is being destroyed by Trump, who's lifetime of grifting has reached it's pinnacle.

He will just walk away smiling when it's over.

Thank you for keeping him in office when you had the chance to get rid of him. 

This is on YOU.",23,0,[],False,0,False
651,1,107384674,Owyhee Canyon,Northwest USA,There is SO MUCH anger in these comments :( Scary!,3,0,[],False,0,False
652,2,107385441,proffexpert,Los Angeles,"In Beverly Hills the curfew starts at 1:00PM.  That’s right, one hour after noon.",3,0,[],False,0,False
653,3,107386250,Greg,Utah,"If the demonstrators peacefully gathered outside the White House gates were Trump supporters and white supremacists, Donald Trump would have walked out, shaken their hands and declared: ""Isn't this GREAT? Isn't this HUGE? These great and honorable people are out supporting freedom in the United States and making America great again. I LOVE them! Aren't they HUGE?""

Since they do not agree with Donald Trump, he has ordered police and National Guard to forcible remove the peaceful protestors, called in the military, tweeted they should be shot, and again accused the news media of lying.

This is fascism. These are the actions of a fascist and racist president some people admire and support. This is NOT a president that Republicans and Democrats who value democracy support.",21,1,"[{'commentID': 107386753, 'status': 'approved', 'commentSequence': 107386753, 'userID': 51816937, 'userDisplayName': 'Dan', 'userLocation': 'Southwestern, Ut', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@Greg The actions of Trump remind me of another authoritarian in a failed country in South America, once one of the wealthiest.  That leader also has turned “his military” to battle the people.', 'createDate': '1591119460', 'updateDate': '1591122410', 'approveDate': '1591120377', 'recommendations': 1, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107386250, 'parentUserDisplayName': 'Greg', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107386753', 'isAnonymous': False}]",False,0,False
654,4,107384151,MAA,PA,"Murder is the catalyst. Power is the objective. 

A man who has never hit his knees to pray is thanking God for Derek Chauvin. George Floyd's murder is the singular event for which Trump has been waiting, finally providing the martial power grab for which he has been aching. 

My city is burning and Trump has fallen in love with the fire.",13,0,[],False,0,False
655,5,107386528,daniel sway,cincinnati,"Will the president rule-out the use of drones, Napalm or nuclear weapons on the protesters ?",5,1,"[{'commentID': 107386865, 'status': 'approved', 'commentSequence': 107386865, 'userID': 65113028, 'userDisplayName': 'Honus', 'userLocation': 'Nj', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@daniel sway Welp, he thinks nuking a hurricane would be ""tremendous""...', 'createDate': '1591119681', 'updateDate': '1591120893', 'approveDate': '1591120893', 'recommendations': 0, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107386528, 'parentUserDisplayName': 'daniel sway', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107386865', 'isAnonymous': False}]",False,0,False
656,6,107386472,Michael Livingston’s,Cheltenham PA,It’s fanning the flames to say we’ll protect decent people from thugs?  How so?,8,1,"[{'commentID': 107386627, 'status': 'approved', 'commentSequence': 107386627, 'userID': 67593320, 'userDisplayName': 'Diana Prince', 'userLocation': 'NYC', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': 'The Washington DC protesters were acting in a peaceful manner.  Do you agree with the manner in which they were dispersed: rubber bullets and tear gas?', 'createDate': '1591119232', 'updateDate': '1591122437', 'approveDate': '1591119541', 'recommendations': 5, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107386472, 'parentUserDisplayName': 'Michael Livingston’s', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107386627', 'isAnonymous': False}]",False,0,False
657,7,107384376,Karma dilly,Oregon,Trump must be happy to hear about so many people “exercising their second amendment rights.”,9,0,[],False,0,False
658,8,107385792,whatever,location,"Asked if he was worried that the #GeorgeFlyod protests violated his ban on large gatherings, Governer Murphy says ""it's one thing to protest what day nail salons are opening and it's another to come out and peaceful protest about somebody who was murdered right before our eyes.""",19,1,"[{'commentID': 107387344, 'status': 'approved', 'commentSequence': 107387344, 'userID': 132600233, 'userDisplayName': 'whatever', 'userLocation': 'location', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@whatever \nOf course even the virus understands the difference.', 'createDate': '1591120656', 'updateDate': '1591122449', 'approveDate': '1591120669', 'recommendations': 1, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107385792, 'parentUserDisplayName': 'whatever', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107387344', 'isAnonymous': False}]",False,0,False
